"year","amo","est","mei","obs","r_abd","r_aer","r_fgs","r_o3","rfc_CH4","rfc_cloud","rfc_CO2","rfc_H2Os","rfc_N2O","rfc_solar","rfc_volc"
1888,-0.0348003446085716,0.0164165057188622,-0.0426983047430313,-0.0425604872666668,-9.24127233650363e-05,0.000139801012774493,3.01606107857692e-07,0.00474147973876514,0.00861876658862404,-0.0116662693398415,0.0243284781592174,0.00118151192195953,0.00185449625479687,-0.0103729128837826,0.0744954912356992
1889,-0.0712335572006232,0.0157701725361591,-0.0593329657726334,-0.0205908553333334,-0.00025565162124306,-2.83751543368642e-05,2.98252640802716e-07,0.00459411737035801,0.00883047310948786,-0.0123618927399578,0.0249440443371199,0.00121281643340077,0.00184396571545712,0.00119206068783092,0.115502072224445
1890,-0.0993708546484194,0.00553525852427094,-0.0518512439858732,-0.0477067010416667,-0.000474741256541358,-0.000205192970076538,2.94317541048942e-07,0.00441119561711193,0.00899202219487108,-0.0127959662938974,0.025409705774951,0.00124346478126793,0.00184714686765603,0.0160272417275082,0.110048696511848
1891,-0.0713291322598887,0.0577709287314608,-0.0107239360967346,0.00656625409090885,-0.00073965136767147,-0.000327905981525644,2.92198138872403e-07,0.00418946417699948,0.00906838440850539,-0.0127847342482501,0.0257024705433855,0.00127072842150006,0.00186037223931268,0.0277878229711397,0.0805388977794344
1892,-0.0327741533521407,0.109595127429719,0.0207341250198228,0.086385696133333,-0.000980281388809871,-0.000360150239208644,2.8810303345952e-07,0.00403328754106246,0.00905303452953454,-0.0126594093199191,0.0258353080248576,0.00129170515342736,0.00187920028839689,0.0316961348981963,0.0587006759518359
1893,-0.00215190436343851,0.0905834605624788,-0.0139297954918575,0.00566194459090901,-0.00110240478696457,-0.000361491036395779,2.78055017868453e-07,0.00400625710193927,0.008973849999133,-0.0129474152949453,0.0258607932563223,0.00130481662572438,0.00190365124819843,0.0295962684332998,0.0470767488185033
1894,0.031987506806238,0.133060026481356,0.00688178277251864,0.0434235898484841,-0.00107449559547597,-0.000326910658633242,2.73940320854226e-07,0.00404837404217665,0.00886920244053738,-0.0138386049604843,0.0258641506711518,0.00131037905727721,0.00193548984214432,0.0229995513765551,0.0432453773877787
1895,0.063469931328331,0.226123995357643,0.07948744533373,0.211830167287879,-0.000932060797752747,-0.000281387336594558,2.638027762495e-07,0.00411406010670595,0.00876355565083674,-0.0150860541872625,0.0259107771280752,0.00130978343262719,0.00197612597430738,0.011252109830342,0.0456268388343434
1896,0.0507202184222983,0.175741107603926,0.0568633372089309,0.203126996931818,-0.000738275938322422,-0.000293940509387939,2.68817675997337e-07,0.00417289375903924,0.00867947097600184,-0.0164175758234513,0.0260184815200743,0.00130539234448617,0.00202800309807096,-0.00407530766502133,0.0462725386643653
1897,0.0250869875272611,0.137866362019188,0.0781058129691305,0.169330657272727,-0.000584626832077041,-0.000300857895414927,2.82593370613107e-07,0.00411856623325702,0.00864866939312888,-0.0173772035261853,0.0261914631499602,0.0012997980680133,0.00209761601913274,-0.0199086127808062,0.0293060630202036
