"year","r_aer_all","rfc_BC","rfc_cloud","rfc_NO3","rfc_POA","rfc_SO4","rfc_SOA"
1880,-0.000853079577759555,0.00030025652507405,-0.000929229482545695,-1.89377281437218e-05,-0.000201732587001691,0.00012443141485126,-2.60983986496864e-05
1881,-0.00177526637585245,0.00051912690844855,-0.00177018859134679,-3.70889581142668e-05,-0.000214414493130336,-0.000129559506894699,-2.81324985469814e-05
1882,-0.00245718577011226,0.00067035675615731,-0.0023650393771491,-3.73706692398468e-05,-0.000183278911974862,-0.00038412180501506,-2.98559129600174e-05
1883,-0.00291801792097095,0.00076877984893385,-0.00276536154102289,-3.28025953049869e-05,-0.000118725910097401,-0.00062416164471262,-2.82007745743674e-05
1884,-0.00329798983031556,0.00089247646150515,-0.003158094562556,-5.36387696408728e-05,-9.77867024016187e-05,-0.00076894566742683,-1.29099506340954e-05
1885,-0.00352043262313835,0.00100077012829644,-0.00345112924776909,-8.41513668358538e-05,-0.000108732331240244,-0.00083248406992674,1.39375794538009e-05
1886,-0.00403907464025216,0.0012093825909875,-0.0040662290617206,-0.00011717920349308,-0.000129915524780011,-0.000933803762277739,2.87199596236392e-05
1887,-0.00546581827423535,0.00165701379678478,-0.0055304357431079,-0.000165988879686671,-0.000216432513140554,-0.0011746238396657,2.54207612702869e-05
1888,-0.00734219388952955,0.00220146440709854,-0.0073901178057771,-0.000219574110192974,-0.000331138689402484,-0.00149990434461812,1.48821364031607e-05
1889,-0.00904780251136086,0.00269431922401787,-0.00905628592080749,-0.000262853030294816,-0.000408581544257128,-0.00183589676980912,2.55625372180162e-06
1890,-0.0105785433790492,0.00312284171742442,-0.0105404545488664,-0.000294026463019519,-0.00043994332729043,-0.00220015520575074,-8.00903237418357e-06
1891,-0.0116178723630665,0.00339515212994878,-0.0115013558042669,-0.000304362835245695,-0.000394712716068601,-0.00255510685895151,-1.27718327313774e-05
1892,-0.0123114499468008,0.00356310475022053,-0.0121211802832242,-0.000307987870254044,-0.000330793412443123,-0.00284392602291309,-1.51250614430394e-05
1893,-0.013423592456511,0.0038475864952963,-0.0131729349196207,-0.000337955878281168,-0.00036242697819096,-0.00310351639694691,-2.24612405323074e-05
1894,-0.0150746941028811,0.00427292418914969,-0.0147314752295691,-0.000391947906363828,-0.00045805389308094,-0.00341215864924759,-3.48235015898474e-05
1895,-0.0165520439139415,0.00464468999883111,-0.0161158186180411,-0.000423679555051144,-0.00049491058480936,-0.00377462291925542,-4.62532564991424e-05
1896,-0.0179119715203148,0.00500609826083701,-0.0174040082717378,-0.000440786623845356,-0.00049755554992195,-0.0041470742301116,-5.48831455632114e-05
1897,-0.0197194167860009,0.00554361811087981,-0.0191868649045976,-0.000490302977137262,-0.00054096279522478,-0.00454838009079146,-6.26076527479834e-05
1898,-0.0218986977504611,0.00619288870758091,-0.0213398691947916,-0.000547775733150735,-0.000614177500596,-0.00502471317882103,-6.90492466245224e-05
1899,-0.0242391115788249,0.00683175889091251,-0.023593216900272,-0.000584513458076597,-0.00070068793786926,-0.00557617357685976,-7.41623412374534e-05
1900,-0.0263690182811864,0.00741427862509051,-0.0256380642974955,-0.000611721183733206,-0.00075079803223289,-0.00612822957912092,-7.80669362901614e-05
1901,-0.028146558743344,0.00790923542776151,-0.0273460942169125,-0.000638614308335769,-0.00074459438158868,-0.00663180433089678,-8.11424145436964e-05
