"year","c2f6","c3f8","c4f10","c5f12","c6f14","cc4f8","ccl4","cf4","cfc11","cfc113","cfc114","cfc115","cfc12","ch3br","ch3ccl3","ch3cl","halon1202","halon1211","halon1301","halon2402","hcfc141b","hcfc142b","hcfc22","hfc125","hfc134a","hfc143a","hfc152a","hfc227ea","hfc23","hfc236fa","hfc245fa","hfc32","hfc365mfc","hfc4310mee","nf3","r_fgs","sf6"
1894,2.60513737807954e-08,0,0,0,0,0,2.37132992125704e-07,2.84277303331087e-07,0,0,0,0,0,0,0,0,0,7.1758899625995e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21480531549855e-07,0
1895,2.82842209833164e-08,0,0,0,0,0,2.46213541829624e-07,2.97066865871507e-07,0,0,0,0,0,0,0,0,0,7.5383847819211e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50399067601725e-07,0
1896,2.79809748433594e-08,0,0,0,0,0,2.54700220069624e-07,3.10275033085667e-07,0,0,0,0,0,0,0,0,0,7.7904825641103e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73559303804095e-07,0
1897,2.83587354394238e-08,0,0,0,0,0,2.62438647849763e-07,3.23151106940937e-07,0,0,0,0,0,0,0,0,0,8.0559564468347e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98341931930646e-07,0
1898,3.09054724246844e-08,0,0,0,0,0,2.70706500122593e-07,3.36134724147787e-07,0,0,0,0,0,0,0,0,0,8.3360132810678e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24981724120645e-07,0
1899,3.39457097195415e-08,0,0,0,0,0,2.78621768440564e-07,3.50632165487317e-07,0,0,0,0,0,0,0,0,0,8.7644434457018e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52879991145796e-07,0
1900,3.5159544655844e-08,0,0,0,0,0,2.85771261541864e-07,3.64926556612377e-07,0,0,0,0,0,0,0,0,0,9.02638102301239e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80775593380916e-07,0
1901,5.81057829543589e-08,0,0,0,0,0,2.94874551927384e-07,3.83022916475657e-07,0,0,0,0,0,0,0,0,0,9.1034829821929e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13885944365826e-07,0
1902,6.33999386780011e-08,0,0,0,0,0,3.02678015053484e-07,4.18545759447697e-07,0,0,0,0,0,0,0,0,0,9.3835158902908e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67990358404626e-07,0
1903,6.75677123117513e-08,0,0,0,0,0,3.09405242244554e-07,4.71842917091257e-07,0,0,0,0,0,0,0,0,0,9.5453092666375e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.39028133894486e-07,0
1904,7.34711177747197e-08,0,0,0,0,0,3.16063326940574e-07,5.37535714595457e-07,0,0,0,0,0,0,0,0,0,9.818678784965e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03175646128161e-06,0
1905,9.73816471663844e-08,0,0,0,0,0,3.23170199464754e-07,6.17447873481007e-07,0,0,0,0,0,0,0,0,0,1.00673062575486e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14244137981007e-06,0
1906,1.21371609746721e-07,0,0,0,0,0,3.29861892948444e-07,7.18187454070297e-07,0,0,0,0,0,0,0,0,0,1.00816479281539e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27577412364397e-06,0
1907,1.62744489586783e-07,0,0,0,0,0,3.37514846297504e-07,8.50722669455317e-07,0,0,0,0,0,0,0,0,0,1.0351357733351e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46099120323576e-06,0
1908,2.07371643439299e-07,0,0,0,0,0,3.44732032830454e-07,1.00449801530689e-06,0,0,0,0,0,0,0,0,0,1.0560054634047e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67080718550412e-06,0
1909,2.62995954436323e-07,0,0,0,0,0,3.54093916088964e-07,1.18048454911108e-06,0,0,0,0,0,0,0,0,0,1.06621747676715e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9094575703549e-06,0
1910,3.30610447058269e-07,0,0,0,0,0,6.68648417950334e-07,1.4102530685374e-06,0,0,0,0,0,0,0,0,0,1.08893848395734e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52991274372316e-06,0
1911,4.26894150824681e-07,0,0,0,0,0,1.53055474679387e-06,1.71396686621318e-06,0,0,0,0,0,0,0,0,0,1.10607787954368e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79594025110104e-06,0
1912,5.44445026737721e-07,0,0,0,0,0,2.5585029205028e-06,2.08404370284086e-06,0,0,0,0,0,0,0,0,0,1.12014266928131e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31702623132777e-06,0
1913,6.83436230649501e-07,0,0,0,0,0,3.83339069948041e-06,2.52338410318059e-06,0,0,0,0,0,0,0,0,0,1.14654591529494e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17674959060514e-06,0
1914,8.45590635767123e-07,3.50231413300416e-08,0,0,0,0,6.14885626935326e-06,3.03203487950625e-06,0,0,0,0,0,0,0,0,0,1.15917852031648e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0165805975493e-05,0
1915,1.02608246489455e-06,3.99943148918974e-08,0,0,0,0,1.02733524612818e-05,3.6022325359347e-06,0,0,0,0,0,0,0,0,0,1.16366976493855e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50455612216866e-05,0
1916,1.23910147979357e-06,4.29663549999748e-08,0,0,0,0,1.66764240819242e-05,4.27034883401756e-06,0,0,0,0,0,0,0,0,0,1.191606230573e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.233838928977e-05,0
1917,1.49664547012429e-06,4.63248785463385e-08,0,0,0,0,2.47849591801357e-05,5.07804746015125e-06,0,0,0,0,0,0,0,0,0,1.21196913398452e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15201753510386e-05,0
1918,1.80026343387891e-06,5.05098444442417e-08,0,0,0,0,3.33668034752973e-05,6.02321709381696e-06,0,0,0,0,0,0,0,0,0,1.21734394631651e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13514895842145e-05,0
1919,2.13139246908864e-06,7.93593967208128e-08,0,0,0,0,4.15424935024598e-05,7.05811077476686e-06,0,0,0,0,0,0,0,0,0,1.23931092265936e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09137869645155e-05,0
1920,2.47368279774972e-06,8.84039877167044e-08,0,0,0,0,4.87474552341826e-05,8.13696484148475e-06,0,0,0,0,0,0,0,0,0,1.26469388063295e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95631659756838e-05,0
1921,2.80790496017128e-06,9.18393140727583e-08,0,0,0,0,5.54089903548864e-05,9.18735396250635e-06,0,0,0,0,0,0,0,0,0,1.2915283611336e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76224407111278e-05,0
1922,3.10925215219165e-06,9.54885090456921e-08,0,0,0,0,6.30776723351654e-05,1.01423831954628e-05,0,0,0,0,0,0,0,0,0,1.29958110855392e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.65546358717216e-05,0
1923,3.42031089635005e-06,1.01350763932503e-07,0,0,0,0,7.25569723963464e-05,1.11230519548221e-05,0,0,0,0,0,0,0,0,0,1.32732440393563e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73496071010055e-05,0
1924,3.79132300478578e-06,1.22115107074714e-07,0,0,0,0,8.36174024026709e-05,1.22919655017065e-05,0,0,0,0,0,0,0,0,0,1.34986940276854e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9960317865561e-05,0
1925,4.22399283607745e-06,1.3560631635973e-07,0,0,0,0,9.6498343881556e-05,1.3657192407958e-05,0,0,0,0,0,0,0,0,0,1.35604900265862e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114641526274531,0
1926,4.70371880129388e-06,1.50982073332127e-07,0,0,0,0,0.000110911468587246,1.51749340748214e-05,0,0,0,0,0,0,0,0,0,1.35642748259921e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000131060274757439,0
1927,5.22918705158505e-06,1.72394457026048e-07,0,0,0,0,0.000126039235716015,1.68417116139693e-05,0,0,0,0,0,0,0,0,0,1.37700245511203e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148398320446559,0
1928,5.81248463295452e-06,1.8602015382219e-07,0,0,0,0,0.000143150339948097,1.87014204585714e-05,0,0,0,0,0,0,0,0,0,1.39337837495814e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167995951169389,0
1929,6.46409603864309e-06,2.03420524375393e-07,0,0,0,0,0.000163962117662052,2.07768480088564e-05,0,0,0,0,0,0,0,0,0,1.39694478085196e-07,0,0,0,0,0,0,0,0,0,0,4.22397472647675e-08,0,0,0,0,0,0,0.000191611247228732,0
1930,7.16425708699914e-06,2.27961861128727e-07,0,0,0,0,0.000188821405758486,2.3027012479141e-05,0,2.34145800577374e-07,0,0,0,0,0,0,0,1.41909737961939e-07,0,0,0,0,0,0,0,0,0,0,9.24717902059306e-08,0,0,0,0,0,0,0.00021972154967031,0
1931,7.8700653417314e-06,2.56884750750238e-07,0,0,0,0,0.000217140278382595,2.53006258173788e-05,0,1.25494685287111e-06,0,0,0,0,0,0,0,1.43877258858095e-07,0,0,0,0,0,0,0,0,0,0,9.32664100240766e-08,0,0,0,0,0,0,0.000252084880874548,0
1932,8.52288970310521e-06,2.74937732145444e-07,0,0,0,0,0.000247903387903277,2.74220467787208e-05,0,3.46077909745065e-06,0,0,0,3.57580268971471e-08,0,0,0,1.45217383154822e-07,0,0,0,0,0,0,0,0,0,0,8.51553627080848e-08,0,0,0,0,0,0,0.000287835453526124,0
1933,9.10275036500719e-06,2.92095590366259e-07,0,0,0,0,0.000281263239735649,2.93009683259109e-05,0,6.56150088262226e-06,0,0,0,4.7128739545488e-08,0,0,0,1.47814664371874e-07,0,0,0,0,0,0,0,0,0,0,6.15587394291835e-08,0,0,0,0,0,0,0.000326808792121747,0
1934,9.63552200972956e-06,3.08808660350139e-07,0,0,0,0,0.00031868870829611,3.10501306199359e-05,0,1.01752954520442e-05,0,0,0,9.20980890398971e-08,0,0,0,1.48590324536444e-07,0,0,0,0,1.36498171840573e-07,0,0,0,0,0,5.36318888512905e-08,0,0,0,0,0,0,0.000370305902923705,0
1935,1.01934111493712e-05,3.29597869574241e-07,0,0,0,0,0.00036239478192572,3.28858759053975e-05,0,1.41444203584096e-05,0,0,0,1.314336823006e-07,0,0,0,1.49819431108997e-07,0,0,0,0,8.6377615272166e-07,0,0,0,0,0,5.35456264041154e-08,0,0,0,0,0,0,0.000421159331544299,0
1936,1.08441771206265e-05,3.53355858363353e-07,0,0,0,0,0.000413937238376502,3.50328281169387e-05,0,1.83768818028492e-05,0,0,0,1.77929016854215e-07,0,0,0,1.5112072398858e-07,0,0,0,0,2.56125639770523e-06,0,0,0,0,0,5.45732568961502e-08,0,0,0,0,0,0,0.000481477797161331,0
1937,1.16335470974434e-05,3.75730209755433e-07,0,0,0,0,0.000472415447747768,3.7673316479922e-05,0,2.28210995386303e-05,0,0,0,2.20071478800407e-07,0,0,0,1.50984438009907e-07,0,0,0,0,5.054644717928e-06,0,0,0,0,0,5.97269777319703e-08,0,0,0,0,0,0,0.000550368529480557,0
1938,1.25807856071727e-05,4.06963678890889e-07,0,0,0,0,0.000535950889879972,4.08809023118192e-05,0,2.74461853290922e-05,0,0,0,2.69403410895833e-07,0,0,0,1.51110311823702e-07,0,0,0,0,8.02586553889361e-06,0,0,0,0,0,7.72181451294951e-08,0,0,0,0,0,0,0.000625739436912086,0
1939,1.36947192393224e-05,4.47091699230578e-07,0,0,0,0,0.00060479803481548,4.46944578704832e-05,0,3.22330847677439e-05,9.30200349466836e-08,0,0,3.16679239272059e-07,0,0,0,1.53156158919839e-07,0,0,0,0,1.13128911561224e-05,0,0,0,0,0,8.3105630080811e-08,0,0,0,0,0,0,0.000707762281543195,0
